fold_id,fold_index,test_cbsa_a,test_cbsa_b,method,cbsa_code,target,n_samples,y_true_mean,y_pred_mean,pred_bias_mean,mae,rmse,r2
test_14460_33100,15,14460,33100,nearest_train_city_mean,14460,NonTransit_share,1115,0.1058551842270376,0.087386846373727,-0.0184683378533105,0.0812081639397928,0.1379447988979511,0.0841760241088963
test_14460_33100,15,14460,33100,nearest_train_city_mean,14460,avg,1115,,,,0.1087078008137066,0.1517897768066179,0.1545666601665423
test_14460_33100,15,14460,33100,nearest_train_city_mean,33100,Car_share,1477,0.9161203189025324,0.8997009530637143,-0.0164193658388179,0.0760895515514634,0.113786163121949,-0.560435680418784
test_14460_33100,15,14460,33100,nearest_train_city_mean,33100,Transit_share,1477,0.0289907135589175,0.0463801272789968,0.0173894137200793,0.0468115748716315,0.0799022359989509,-2.143167038221826
test_14460_33100,15,14460,33100,nearest_train_city_mean,33100,NonTransit_share,1477,0.0548889675385499,0.0539189196572887,-0.0009700478812612,0.0434459870503477,0.0705353614144853,0.0346996627836678
test_14460_33100,15,14460,33100,nearest_train_city_mean,33100,avg,1477,,,,0.0554490378244809,0.0880745868451284,-0.8896343519523141
test_14460_33100,15,14460,33100,test_city_oracle_mean,14460,Car_share,1115,0.7720657517114665,0.7720657517114664,-3.1862902948883417e-18,0.181195221125225,0.2276663196779798,1.1102230246251563e-16
test_14460_33100,15,14460,33100,test_city_oracle_mean,14460,Transit_share,1115,0.1220790640614959,0.1220790640614959,0.0,0.105544115146397,0.1325412235410779,0.0
test_14460_33100,15,14460,33100,test_city_oracle_mean,14460,NonTransit_share,1115,0.1058551842270376,0.1058551842270376,1.1152016032109197e-17,0.0963312261757294,0.1441449148349586,0.0
test_14460_33100,15,14460,33100,test_city_oracle_mean,14460,avg,1115,,,,0.1276901874824505,0.1681174860180055,3.7007434154171876e-17
test_14460_33100,15,14460,33100,test_city_oracle_mean,33100,Car_share,1477,0.9161203189025324,0.9161203189025324,3.126965323250272e-17,0.0621981199848064,0.0910891222437087,0.0
test_14460_33100,15,14460,33100,test_city_oracle_mean,33100,Transit_share,1477,0.0289907135589175,0.0289907135589175,-6.013394852404368e-19,0.0299046602960782,0.0450687177492427,-2.220446049250313e-16
test_14460_33100,15,14460,33100,test_city_oracle_mean,33100,NonTransit_share,1477,0.0548889675385499,0.0548889675385499,-3.608036911442621e-18,0.0443753394411696,0.0717919363260635,0.0
test_14460_33100,15,14460,33100,test_city_oracle_mean,33100,avg,1477,,,,0.045492706574018,0.0693165921063383,-7.401486830834377e-17
