GEOID,cbsa_code,cbsa_title,county_fips,NAME,total_commuters,Car_count,Transit_count,NonTransit_count,ExcludedWFH_count,class3_denominator,tripmode_denominator,share_sum,Car_share,Transit_share,NonTransit_share,label_schema,label_version,wfh_policy
13015960802,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9608.02; Bartow County; Georgia,1350.0,1250.0,0.0,75.0,25.0,1325.0,1325.0,1.0,0.9433962264150944,0.0,0.05660377358490566,commute_tripmode3_contract,v2.0,excluded
13015960804,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9608.04; Bartow County; Georgia,2212.0,1721.0,0.0,41.0,450.0,1762.0,1762.0,1.0,0.9767309875141884,0.0,0.023269012485811577,commute_tripmode3_contract,v2.0,excluded
13015960805,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9608.05; Bartow County; Georgia,751.0,670.0,0.0,14.0,67.0,684.0,684.0,1.0,0.97953216374269,0.0,0.02046783625730994,commute_tripmode3_contract,v2.0,excluded
13015960901,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9609.01; Bartow County; Georgia,1580.0,1532.0,6.0,11.0,31.0,1549.0,1549.0,1.0,0.9890251775338929,0.003873466752743706,0.0071013557133634605,commute_tripmode3_contract,v2.0,excluded
13015960902,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9609.02; Bartow County; Georgia,3903.0,3360.0,17.0,0.0,526.0,3377.0,3377.0,1.0,0.9949659461060113,0.005034053893988748,0.0,commute_tripmode3_contract,v2.0,excluded
13015961001,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9610.01; Bartow County; Georgia,2503.0,2111.0,0.0,85.0,307.0,2196.0,2196.0,1.0,0.9612932604735883,0.0,0.038706739526411654,commute_tripmode3_contract,v2.0,excluded
13015961002,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13015,Census Tract 9610.02; Bartow County; Georgia,1379.0,1316.0,0.0,0.0,63.0,1316.0,1316.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13035150101,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13035,Census Tract 1501.01; Butts County; Georgia,2122.0,1739.0,0.0,17.0,366.0,1756.0,1756.0,1.0,0.9903189066059226,0.0,0.00968109339407745,commute_tripmode3_contract,v2.0,excluded
13035150102,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13035,Census Tract 1501.02; Butts County; Georgia,2131.0,1878.0,0.0,60.0,193.0,1938.0,1938.0,1.0,0.9690402476780186,0.0,0.030959752321981424,commute_tripmode3_contract,v2.0,excluded
13035150201,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13035,Census Tract 1502.01; Butts County; Georgia,2149.0,1955.0,0.0,57.0,137.0,2012.0,2012.0,1.0,0.9716699801192843,0.0,0.028330019880715707,commute_tripmode3_contract,v2.0,excluded
